epoch,loss,accuracy,val_loss,val_accuracy
1,4.537107,0.494167,2.27398,0.878348
2,1.898986,0.830278,1.349274,0.922991
3,1.347928,0.881944,1.106223,0.936384
4,1.119152,0.899167,0.893281,0.950893
5,0.961787,0.918333,0.772844,0.960938
6,0.872305,0.9225,0.818932,0.956473
7,0.906003,0.916111,0.734693,0.959821
8,0.820192,0.931389,0.692732,0.958705
9,0.780497,0.929722,0.64677,0.955357
10,0.73836,0.937778,0.636969,0.965402
11,0.727481,0.939167,0.630186,0.957589
12,0.724636,0.931944,0.632661,0.954241
13,0.752955,0.930556,0.629263,0.958705
14,0.717879,0.935556,0.589783,0.96875
15,0.662433,0.944167,0.570358,0.956473
16,0.704718,0.93,0.59738,0.957589
17,0.732056,0.926667,0.64448,0.953125
18,0.678971,0.939167,0.563483,0.955357
19,0.681567,0.938611,0.5806,0.96875
20,0.672539,0.939167,0.548947,0.970982
21,0.635675,0.940833,0.596138,0.958705
22,0.657845,0.935278,0.568426,0.966518
23,0.653112,0.936389,0.617449,0.962054
24,0.657325,0.944444,0.522183,0.96875
25,0.610047,0.938611,0.522517,0.964286
26,0.659811,0.942778,0.53117,0.957589
27,0.591643,0.950278,0.497119,0.972098
28,0.611377,0.945278,0.539535,0.964286
29,0.609925,0.941944,0.496367,0.982143
30,0.589949,0.9475,0.466087,0.975446
31,0.640565,0.938333,0.618266,0.965402
32,0.636712,0.945556,0.515024,0.96875
33,0.618352,0.938889,0.54595,0.954241
34,0.585589,0.941389,0.465025,0.975446
35,0.603841,0.941111,0.496355,0.955357
36,0.572016,0.942778,0.502754,0.96875
37,0.572404,0.946111,0.576838,0.958705
38,0.59694,0.941111,0.470386,0.975446
39,0.549186,0.949444,0.461174,0.96317
40,0.549096,0.945,0.49999,0.96875
41,0.653,0.934722,0.535771,0.96875
42,0.594709,0.944444,0.489076,0.967634
43,0.548753,0.950833,0.468866,0.964286
44,0.534368,0.949167,0.458637,0.96317
45,0.551979,0.9475,0.461758,0.977679
46,0.572359,0.951667,0.481108,0.953125
47,0.543824,0.9425,0.46776,0.967634
48,0.5783,0.944722,0.512562,0.967634
49,0.552939,0.950278,0.459466,0.969866
50,0.506674,0.9575,0.421717,0.973214
51,0.555967,0.943889,0.462537,0.981027
52,0.535324,0.946944,0.426875,0.972098
53,0.518856,0.947222,0.442213,0.977679
54,0.543386,0.951944,0.462127,0.976562
55,0.510585,0.953611,0.648604,0.934152
56,0.589049,0.941111,0.468898,0.96317
57,0.565824,0.946111,0.495062,0.965402
58,0.563959,0.95,0.472633,0.972098
59,0.564071,0.945556,0.447709,0.975446
60,0.534517,0.949722,0.441772,0.97433
61,0.547911,0.944167,0.470823,0.969866
62,0.570007,0.946111,0.466368,0.970982
63,0.511101,0.952222,0.452546,0.96875
64,0.530184,0.95,0.471384,0.962054
65,0.516446,0.945,0.409732,0.979911
66,0.509568,0.950278,0.410382,0.978795
67,0.494818,0.955833,0.417575,0.96875
68,0.489144,0.953333,0.407181,0.97433
69,0.558401,0.939722,0.508752,0.96317
70,0.544457,0.948889,0.446048,0.97433
71,0.514552,0.952778,0.404614,0.982143
72,0.504896,0.951667,0.423033,0.977679
73,0.517448,0.954167,0.414658,0.982143
74,0.515531,0.948056,0.431131,0.967634
75,0.463342,0.953333,0.404512,0.957589
76,0.48178,0.951944,0.431648,0.973214
77,0.555234,0.944167,0.443527,0.96875
78,0.51361,0.950556,0.429516,0.975446
79,0.49233,0.950833,0.385652,0.973214
80,0.504064,0.946389,0.404319,0.975446
81,0.479566,0.954444,0.40778,0.972098
82,0.502857,0.948611,0.42094,0.982143
83,0.476409,0.953611,0.397345,0.972098
84,0.486644,0.951111,0.422077,0.96875
85,0.495193,0.948333,0.418572,0.97433
86,0.506835,0.947222,0.425137,0.96875
87,0.521652,0.953056,0.413602,0.985491
88,0.474052,0.956944,0.391859,0.962054
89,0.501152,0.944167,0.472903,0.965402
90,0.542732,0.946667,0.428552,0.976562
91,0.516071,0.948889,0.403271,0.976562
92,0.457337,0.9575,0.392369,0.975446
93,0.524248,0.946944,0.449994,0.962054
94,0.507527,0.95,0.427452,0.966518
95,0.469149,0.955278,0.404293,0.96875
96,0.478241,0.95,0.411666,0.969866
97,0.492898,0.950556,0.398828,0.975446
98,0.483695,0.951667,0.39789,0.976562
99,0.493959,0.947222,0.412784,0.969866
